Date,Revenue
9/16/20 0:00,11997.46
9/17/20 0:00,4391.37
9/18/20 0:00,5745.24
9/19/20 0:00,8085.48
9/20/20 0:00,7532.23
9/21/20 0:00,3427.63
9/22/20 0:00,13382.17
9/23/20 0:00,28883.87
9/24/20 0:00,22002.85
9/25/20 0:00,6191.8
9/26/20 0:00,5976.77
9/27/20 0:00,9815.31
9/28/20 0:00,3841.69
9/29/20 0:00,13131.96
9/30/20 0:00,9051.6
10/01/20 0:00,12284.16
10/02/20 0:00,15779.54
10/03/20 0:00,16611.15
10/04/20 0:00,17979.37
10/05/20 0:00,15072.77
10/06/20 0:00,9659.76
10/07/20 0:00,14870.75
10/08/20 0:00,13822.14
10/09/20 0:00,8286.21
10/10/20 0:00,12442.14
10/11/20 0:00,7226.8
10/12/20 0:00,23978.59
10/13/20 0:00,6907.82
10/14/20 0:00,8138.11
10/15/20 0:00,22467.89
10/16/20 0:00,11917.63
10/17/20 0:00,8314.78
10/18/20 0:00,15740.28
10/19/20 0:00,39020.64
10/20/20 0:00,11405.7
10/21/20 0:00,6178.73
10/22/20 0:00,5497.7
10/23/20 0:00,13007.79
10/24/20 0:00,11530.45
10/25/20 0:00,9657.05
10/26/20 0:00,5896.45
10/27/20 0:00,6741.21
10/28/20 0:00,6374.75
10/29/20 0:00,4399.26
10/30/20 0:00,3402.27
10/31/20 0:00,9060.66
11/01/20 0:00,9689.16
11/02/20 0:00,4921.58
11/03/20 0:00,7939.2
11/04/20 0:00,11406.85
11/05/20 0:00,6936.94
11/06/20 0:00,6815.63
11/07/20 0:00,5893.42
11/08/20 0:00,6896.99
11/09/20 0:00,36896.97
11/10/20 0:00,38236.09
11/11/20 0:00,29570.22
11/12/20 0:00,31502.34
11/13/20 0:00,26640.72
11/14/20 0:00,33741.03
11/15/20 0:00,37936.68
11/16/20 0:00,23869.82
11/17/20 0:00,25760.74
11/18/20 0:00,12141.33
11/19/20 0:00,12826.97
11/20/20 0:00,16989.33
11/21/20 0:00,21160.87
11/22/20 0:00,27228.29
11/23/20 0:00,53625.74
11/24/20 0:00,29465.04
11/25/20 0:00,14821.35
11/26/20 0:00,29405.71
11/27/20 0:00,47502.71
11/28/20 0:00,58759.16
11/29/20 0:00,44286.65
11/30/20 0:00,71412.83
12/01/20 0:00,9537.11
12/02/20 0:00,3466.89
12/03/20 0:00,8089.7
12/04/20 0:00,3088.87
12/05/20 0:00,5425.74
12/06/20 0:00,11028.76
12/07/20 0:00,7901.55
12/08/20 0:00,2687.78
12/09/20 0:00,9975.68
12/10/20 0:00,6773.62
12/11/20 0:00,1154.2
12/12/20 0:00,9810.08
12/13/20 0:00,5891.47
12/14/20 0:00,7604.75
12/15/20 0:00,8861.69
12/16/20 0:00,7045.34
12/17/20 0:00,5698.87
12/18/20 0:00,11521.26
12/19/20 0:00,11326.45
12/20/20 0:00,8956.04
12/21/20 0:00,18942.53
12/22/20 0:00,8538.21
12/23/20 0:00,12444.59
12/24/20 0:00,8059.96
12/25/20 0:00,12762.32
12/26/20 0:00,45323.42
12/27/20 0:00,29308.73
12/28/20 0:00,39907.75
12/29/20 0:00,29963.28
12/30/20 0:00,31019.09
12/31/20 0:00,30767.49
1/01/21 0:00,26838.31
1/02/21 0:00,26279.65
1/03/21 0:00,25150.97
1/04/21 0:00,17726.91
1/05/21 0:00,6123.47
1/06/21 0:00,8639.65
1/07/21 0:00,12292.45
1/08/21 0:00,6856.73
1/09/21 0:00,8062.59
1/10/21 0:00,7993.74
1/11/21 0:00,13901.49
1/12/21 0:00,5221.3
1/13/21 0:00,2282.79
1/14/21 0:00,11261.29
1/15/21 0:00,13327.59
1/16/21 0:00,13363.51
1/17/21 0:00,20670.08
1/18/21 0:00,7446.74
1/19/21 0:00,13740.1
1/20/21 0:00,10434.49
1/21/21 0:00,10285.32
1/22/21 0:00,21658.76
1/23/21 0:00,19166.72
1/24/21 0:00,13641.17
1/25/21 0:00,17446.72
1/26/21 0:00,9333.62
1/27/21 0:00,13144.06
1/28/21 0:00,11409.96
1/29/21 0:00,11878.33
1/30/21 0:00,12394.71
1/31/21 0:00,8159.39
2/01/21 0:00,13406.01
2/02/21 0:00,12541.37
2/03/21 0:00,3795.7
2/04/21 0:00,13237.63
2/05/21 0:00,7058
2/06/21 0:00,9977.22
2/07/21 0:00,12353.01
2/08/21 0:00,11608.66
2/09/21 0:00,5451.87
2/10/21 0:00,4187.84
2/11/21 0:00,14449.3
2/12/21 0:00,4217.98
2/13/21 0:00,16887.91
2/14/21 0:00,15456.61
2/15/21 0:00,21264.93
2/16/21 0:00,14948.83
2/17/21 0:00,9579.34
2/18/21 0:00,9177.49
2/19/21 0:00,9969.2
2/20/21 0:00,15194.6
2/21/21 0:00,19620.91
2/22/21 0:00,13260.3
2/23/21 0:00,11899.38
2/24/21 0:00,14549.55
2/25/21 0:00,7726.12
2/26/21 0:00,8414.24
2/27/21 0:00,17454.4
2/28/21 0:00,18110.08
3/01/21 0:00,4364.86
3/02/21 0:00,21072.92
3/03/21 0:00,9748.85
3/04/21 0:00,9101.32
3/05/21 0:00,4739.92
3/06/21 0:00,10677.37
3/07/21 0:00,18337.28
3/08/21 0:00,7825.81
3/09/21 0:00,9348.31
3/10/21 0:00,7615.44
3/11/21 0:00,14243.37
3/12/21 0:00,4936.81
3/13/21 0:00,13119.96
3/14/21 0:00,20042.7
3/15/21 0:00,10346.52
3/16/21 0:00,7434.4
3/17/21 0:00,9343.06
3/18/21 0:00,7375.32
3/19/21 0:00,11744.07
3/20/21 0:00,12905.38
3/21/21 0:00,11244.41
3/22/21 0:00,9387.27
3/23/21 0:00,6180.89
3/24/21 0:00,9399.43
3/25/21 0:00,9722.32
3/26/21 0:00,15003.73
3/27/21 0:00,14188.65
3/28/21 0:00,20406.5
